bin,cumulative_traveltime_fastest-ravenna-3,cumulative_traveltime_shortest-ravenna-3
192,0.9696446013975498,0.969963934179878
193,0.9704147569313992,0.970715305432414
194,0.9711097753399948,0.9714478924036364
195,0.9718235780299038,0.972180479374859
196,0.9725749492824396,0.9729130663460814
197,0.9733263205349756,0.973645653317304
198,0.974058907506198,0.974359456007213
199,0.9747727101961072,0.975073258697122
200,0.9755052971673296,0.9758058456683444
201,0.9762190998572386,0.9765760012021938
202,0.9769141182658344,0.9773273724547296
203,0.9776842737996836,0.9780223908633252
204,0.978416860770906,0.9787549778345478
205,0.9791494477421284,0.9794875648057704
206,0.9799008189946644,0.9802013674956792
207,0.9806334059658868,0.9809151701855884
208,0.9812720715305424,0.9815726200315572
209,0.9820797956270184,0.98236155984672
210,0.9827560297543008,0.9830941468179424
211,0.9835449695694636,0.983826733789165
212,0.9842963408219992,0.9845029679164472
213,0.9849350063866548,0.9852731234502964
214,0.9857051619205042,0.9860808475467726
215,0.9864377488917266,0.9867946502366816
216,0.9871891201442624,0.9874521000826506
217,0.9878465699902316,0.9882598241791268
218,0.988579156961454,0.9889924111503492
219,0.9894056653392432,0.9897437824028852
220,0.9901382523104658,0.9904388008114808
221,0.9908332707190616,0.99120895634533
222,0.9915095048463436,0.9918476219099857
223,0.99237358178676,0.992580208881208
224,0.9930122473514156,0.9933691486963708
225,0.9937824028852648,0.9940829513862798
226,0.9944774212938604,0.9948531069201292
227,0.9952287925463964,0.9955856938913517
228,0.9959613795176188,0.9962807122999472
229,0.9966751822075278,0.9970132992711696
230,0.9974265534600636,0.9977646705237057
231,0.9981591404312862,0.9984784732136146
232,0.9989292959651356,0.999248628747464
233,0.9996806672176712,0.9999812157186864
234,0.9999999999999992,0.9999999999999998
